测试集名称	故障类型
test0183	roller_wear
test0184	inner_wear
test0185	inner_broken
test0186	outer_missing
test0187	normal
test0188	roller_broken
test0189	roller_wear
test0190	inner_wear
test0191	inner_broken
test0192	outer_missing
test0193	normal
test0194	roller_broken
test0195	roller_wear
test0196	inner_wear
test0197	inner_broken
test0198	outer_missing
test0199	normal
test0200	roller_broken
test0201	roller_wear
test0202	inner_wear
test0203	inner_broken
test0204	outer_missing
test0205	normal
test0206	roller_broken
test0207	roller_wear
test0208	inner_wear
test0209	inner_broken
test0210	outer_missing
test0211	normal
test0212	roller_broken
test0213	roller_wear
test0214	inner_wear
test0215	inner_broken
test0216	outer_missing
test0217	normal
test0218	roller_broken
test0219	roller_wear
test0220	inner_wear
test0221	inner_broken
test0222	outer_missing
test0223	normal
test0224	roller_broken
test0225	roller_wear
test0226	inner_wear
test0227	inner_broken
test0228	outer_missing
test0229	normal
test0230	roller_broken
test0231	roller_wear
test0232	inner_wear
test0233	inner_broken
test0234	outer_missing
test0235	normal
test0236	roller_broken
test0237	roller_wear
test0238	inner_wear
test0239	inner_broken
test0240	outer_missing
test0241	normal
test0242	roller_broken
test0243	roller_wear
test0244	inner_wear
test0245	inner_broken
test0246	outer_missing
test0247	normal
test0248	roller_broken
test0249	roller_wear
test0250	inner_wear
test0251	inner_broken
test0252	outer_missing
test0253	normal
test0254	roller_broken
test0255	roller_wear
test0256	inner_wear
test0257	inner_broken
test0258	outer_missing
test0259	normal
test0260	roller_broken
test0261	roller_wear
test0262	inner_wear
test0263	inner_broken
test0264	outer_missing
test0265	normal
test0266	roller_broken
test0267	roller_wear
test0268	inner_wear
test0269	inner_broken
test0270	outer_missing
test0271	normal
test0272	roller_broken
test0273	roller_wear
test0274	inner_wear
test0275	inner_broken
test0276	outer_missing
test0277	normal
test0278	roller_broken
test0279	roller_wear
test0280	inner_wear
test0281	inner_broken
test0282	outer_missing
test0283	normal
test0284	roller_broken
test0285	roller_wear
test0286	inner_wear
test0287	inner_broken
test0288	outer_missing
test0289	normal
test0290	roller_broken
test0291	roller_wear
test0292	inner_wear
test0293	inner_broken
test0294	outer_missing
test0295	normal
test0296	roller_broken
test0297	roller_wear
test0298	inner_wear
test0299	inner_broken
test0300	outer_missing
test0301	normal
test0302	roller_broken
test0303	roller_wear
test0304	inner_wear
test0305	inner_broken
test0306	outer_missing
test0307	normal
test0308	roller_broken
test0309	roller_wear
test0310	inner_wear
test0311	inner_broken
test0312	outer_missing
test0313	normal
test0314	roller_broken
test0315	roller_wear
test0316	inner_wear
test0317	inner_broken
test0318	outer_missing
test0319	normal
test0320	roller_broken
test0321	roller_wear
test0322	inner_wear
test0323	inner_broken
test0324	outer_missing
test0325	normal
test0326	roller_broken
test0327	roller_wear
test0328	inner_wear
test0329	inner_broken
test0330	outer_missing
test0331	normal
test0332	roller_broken
test0333	roller_wear
test0334	inner_wear
test0335	inner_broken
test0336	outer_missing
test0337	normal
test0338	roller_broken
test0339	roller_wear
test0340	inner_wear
test0341	inner_broken
test0342	outer_missing
test0343	normal
test0344	roller_broken
test0345	roller_wear
test0346	inner_wear
test0347	inner_broken
test0348	outer_missing
test0349	normal
test0350	roller_broken
test0351	roller_wear
test0352	inner_wear
test0353	inner_broken
test0354	outer_missing
test0355	normal
test0356	roller_broken
test0357	roller_wear
test0358	inner_wear
test0359	inner_broken
test0360	outer_missing
test0361	normal
test0362	roller_broken
test0363	roller_wear
test0364	inner_wear
test0365	inner_broken
test0366	outer_missing
test0367	normal
test0368	roller_broken
test0369	roller_wear
test0370	inner_wear
test0371	inner_broken
test0372	outer_missing
test0373	normal
test0374	roller_broken
test0375	roller_wear
test0376	inner_wear
test0377	inner_broken
test0378	outer_missing
test0379	normal
test0380	roller_broken
test0381	roller_wear
test0382	inner_wear
test0383	inner_broken
test0384	outer_missing
test0385	normal
test0386	roller_broken
test0387	roller_wear
test0388	inner_wear
test0389	inner_broken
test0390	outer_missing
test0391	normal
test0392	roller_broken
test0393	roller_wear
test0394	inner_wear
test0395	inner_broken
test0396	outer_missing
test0397	normal
test0398	roller_broken
test0399	roller_wear
test0400	inner_wear
test0401	inner_broken
test0402	outer_missing
test0403	normal
test0404	roller_broken
test0405	roller_wear
test0406	inner_wear
test0407	inner_broken
test0408	outer_missing
test0409	normal
test0410	roller_broken
test0411	roller_wear
test0412	inner_wear
test0413	inner_broken
test0414	outer_missing
test0415	normal
test0416	roller_broken
test0417	roller_wear
test0418	inner_wear
test0419	inner_broken
test0420	outer_missing
test0421	normal
test0422	roller_broken
test0423	roller_wear
test0424	inner_wear
test0425	inner_broken
test0426	outer_missing
test0427	normal
test0428	roller_broken
test0429	roller_wear
test0430	inner_wear
test0431	inner_broken
test0432	outer_missing
test0433	normal
test0434	roller_broken
test0435	roller_wear
test0436	inner_wear
test0437	inner_broken
test0438	outer_missing
test0439	normal
test0440	roller_broken
test0441	roller_wear
test0442	inner_wear
test0443	inner_broken
test0444	outer_missing
test0445	normal
test0446	roller_broken
test0447	roller_wear
test0448	inner_wear
test0449	inner_broken
test0450	outer_missing
test0451	normal
test0452	roller_broken
test0453	roller_wear
test0454	inner_wear
test0455	inner_broken
test0456	outer_missing
test0457	normal
test0458	roller_broken
test0459	roller_wear
test0460	inner_wear
test0461	inner_broken
test0462	outer_missing
test0463	normal
test0464	roller_broken
test0465	roller_wear
test0466	inner_wear
test0467	inner_broken
test0468	outer_missing
test0469	normal
test0470	roller_broken
test0471	roller_wear
test0472	inner_wear
test0473	inner_broken
test0474	outer_missing
test0475	normal
test0476	roller_broken
test0477	roller_wear
test0478	inner_wear
test0479	inner_broken
test0480	outer_missing
test0481	normal
test0482	roller_broken
test0483	roller_wear
test0484	inner_wear
test0485	inner_broken
test0486	outer_missing
test0487	normal
test0488	roller_broken
test0489	roller_wear
test0490	inner_wear
test0491	inner_broken
test0492	outer_missing
test0493	normal
test0494	roller_broken
test0495	roller_wear
test0496	inner_wear
test0497	inner_broken
test0498	outer_missing
test0499	normal
test0500	roller_broken
test0501	roller_wear
test0502	inner_wear
test0503	inner_broken
test0504	outer_missing
test0505	normal
test0506	roller_broken
test0507	roller_wear
test0508	inner_wear
test0509	inner_broken
test0510	outer_missing
test0511	normal
test0512	roller_broken
test0513	roller_wear
test0514	inner_wear
test0515	inner_broken
test0516	outer_missing
test0517	normal
test0518	roller_broken
test0519	roller_wear
test0520	inner_wear
test0521	inner_broken
test0522	outer_missing
test0523	normal
test0524	roller_broken
test0525	roller_wear
test0526	inner_wear
test0527	inner_broken
test0528	outer_missing
test0529	normal
test0530	roller_broken
test0531	roller_wear
test0532	inner_wear
test0533	inner_broken
test0534	outer_missing
test0535	normal
test0536	roller_broken
test0537	roller_wear
test0538	inner_wear
test0539	inner_broken
test0540	outer_missing
test0541	normal
test0542	roller_broken
test0543	roller_wear
test0544	inner_wear
test0545	inner_broken
test0546	outer_missing
test0547	normal
test0548	roller_broken
test0549	roller_wear
test0550	inner_wear
test0551	inner_broken
test0552	outer_missing
test0553	normal
test0554	roller_broken
test0555	roller_wear
test0556	inner_wear
test0557	inner_broken
test0558	outer_missing
test0559	normal
test0560	roller_broken
test0561	roller_wear
test0562	inner_wear
test0563	inner_broken
test0564	outer_missing
test0565	normal
test0566	roller_broken
test0567	roller_wear
test0568	inner_wear
test0569	inner_broken
test0570	outer_missing
test0571	normal
test0572	roller_broken
test0573	roller_wear
test0574	inner_wear
test0575	inner_broken
test0576	outer_missing
test0577	normal
test0578	roller_broken
test0579	roller_wear
test0580	inner_wear
test0581	inner_broken
test0582	outer_missing
test0583	normal
test0584	roller_broken
test0585	roller_wear
test0586	inner_wear
test0587	inner_broken
test0588	outer_missing
test0589	normal
test0590	roller_broken
test0591	roller_wear
test0592	inner_wear
test0593	inner_broken
test0594	outer_missing
test0595	normal
test0596	roller_broken
test0597	roller_wear
test0598	inner_wear
test0599	inner_broken
test0600	outer_missing
test0601	normal
test0602	roller_broken
test0603	roller_wear
test0604	inner_wear
test0605	inner_broken
test0606	outer_missing
test0607	normal
test0608	roller_broken
test0609	roller_wear
test0610	inner_wear
test0611	inner_broken
test0612	outer_missing
test0613	normal
test0614	roller_broken
test0615	roller_wear
test0616	inner_wear
test0617	inner_broken
test0618	outer_missing
test0619	normal
test0620	roller_broken
test0621	roller_wear
test0622	inner_wear
test0623	inner_broken
test0624	outer_missing
test0625	normal
test0626	roller_broken
test0627	roller_wear
test0628	inner_wear
test0629	inner_broken
test0630	outer_missing
test0631	normal
test0632	roller_broken
test0633	roller_wear
test0634	inner_wear
test0635	inner_broken
test0636	outer_missing
test0637	normal
test0638	roller_broken
test0639	roller_wear
test0640	inner_wear
test0641	inner_broken
test0642	outer_missing
test0643	normal
test0644	roller_broken
test0645	roller_wear
test0646	inner_wear
test0647	inner_broken
test0648	outer_missing
test0649	normal
test0650	roller_broken
test0651	roller_wear
test0652	inner_wear
test0653	inner_broken
test0654	outer_missing
test0655	normal
test0656	roller_broken
test0657	roller_wear
test0658	inner_wear
test0659	inner_broken
test0660	outer_missing
test0661	normal
test0662	roller_broken
test0663	roller_wear
test0664	inner_wear
test0665	inner_broken
test0666	outer_missing
test0667	normal
test0668	roller_broken
test0669	roller_wear
test0670	inner_wear
test0671	inner_broken
test0672	outer_missing
test0673	normal
test0674	roller_broken
test0675	roller_wear
test0676	inner_wear
test0677	inner_broken
test0678	outer_missing
test0679	normal
test0680	roller_broken
test0681	roller_wear
test0682	inner_wear
test0683	inner_broken
test0684	outer_missing
test0685	normal
test0686	roller_broken
test0687	roller_wear
test0688	inner_wear
test0689	inner_broken
test0690	outer_missing
test0691	normal
test0692	roller_broken
test0693	roller_wear
test0694	inner_wear
test0695	inner_broken
test0696	outer_missing
test0697	normal
test0698	roller_broken
test0699	roller_wear
test0700	inner_wear
test0701	inner_broken
test0702	outer_missing
test0703	normal
test0704	roller_broken
test0705	roller_wear
test0706	inner_wear
test0707	inner_broken
test0708	outer_missing
test0709	normal
test0710	roller_broken
test0711	roller_wear
test0712	inner_wear
test0713	inner_broken
test0714	outer_missing
test0715	normal
test0716	roller_broken
test0717	roller_wear
test0718	inner_wear
test0719	inner_broken
test0720	outer_missing
test0721	normal
test0722	roller_broken
test0723	roller_wear
test0724	inner_wear
test0725	inner_broken
test0726	outer_missing
test0727	normal
test0728	roller_broken
test0729	roller_wear
test0730	inner_wear
test0731	inner_broken
test0732	outer_missing
test0733	normal
test0734	roller_broken
test0735	roller_wear
test0736	inner_wear
test0737	inner_broken
test0738	outer_missing
test0739	normal
test0740	roller_broken
test0741	roller_wear
test0742	inner_wear
test0743	inner_broken
test0744	outer_missing
test0745	normal
test0746	roller_broken
test0747	roller_wear
test0748	inner_wear
test0749	inner_broken
test0750	outer_missing
test0751	normal
test0752	roller_broken
test0753	roller_wear
test0754	inner_wear
test0755	inner_broken
test0756	outer_missing
test0757	normal
test0758	roller_broken
test0759	roller_wear
test0760	inner_wear
test0761	inner_broken
test0762	outer_missing
test0763	normal
test0764	roller_broken
test0765	roller_wear
test0766	inner_wear
test0767	inner_broken
test0768	outer_missing
test0769	normal
test0770	roller_broken
test0771	roller_wear
test0772	inner_wear
test0773	inner_broken
test0774	outer_missing
test0775	normal
test0776	roller_broken
test0777	roller_wear
test0778	inner_wear
test0779	inner_broken
test0780	outer_missing
test0781	normal
test0782	roller_broken
test0783	roller_wear
test0784	inner_wear
test0785	inner_broken
test0786	outer_missing
test0787	normal
test0788	roller_broken
test0789	roller_wear
test0790	inner_wear
test0791	inner_broken
test0792	outer_missing
test0793	normal
test0794	roller_broken
test0795	roller_wear
test0796	inner_wear
test0797	inner_broken
test0798	outer_missing
test0799	normal
test0800	roller_broken
test0801	roller_wear
test0802	inner_wear
test0803	inner_broken
test0804	outer_missing
test0805	normal
test0806	roller_broken
test0807	roller_wear
test0808	inner_wear
test0809	inner_broken
test0810	outer_missing
test0811	normal
test0812	roller_broken
test0813	roller_wear
test0814	inner_wear
test0815	inner_broken
test0816	outer_missing
test0817	normal
test0818	roller_broken
test0819	roller_wear
test0820	inner_wear
test0821	inner_broken
test0822	outer_missing
test0823	normal
test0824	roller_broken
test0825	roller_wear
test0826	inner_wear
test0827	inner_broken
test0828	outer_missing
test0829	normal
test0830	roller_broken
test0831	roller_wear
test0832	inner_wear
test0833	inner_broken
test0834	outer_missing
test0835	normal
test0836	roller_broken
test0837	roller_wear
test0838	inner_wear
test0839	inner_broken
test0840	outer_missing
test0841	normal
test0842	roller_broken
test0843	roller_wear
test0844	inner_wear
test0845	inner_broken
test0846	outer_missing
test0847	normal
test0848	roller_broken
test0849	roller_wear
test0850	inner_wear
test0851	inner_broken
test0852	outer_missing
test0853	normal
test0854	roller_broken
test0855	roller_wear
test0856	inner_wear
test0857	inner_broken
test0858	outer_missing
test0859	normal
test0860	roller_broken
test0861	roller_wear
test0862	inner_wear
test0863	inner_broken
test0864	outer_missing
test0865	normal
test0866	roller_broken
test0867	roller_wear
test0868	inner_wear
test0869	inner_broken
test0870	outer_missing
test0871	normal
test0872	roller_broken
test0873	roller_wear
test0874	inner_wear
test0875	inner_broken
test0876	outer_missing
test0877	normal
test0878	roller_broken
test0879	roller_wear
test0880	inner_wear
test0881	inner_broken
test0882	outer_missing
test0883	normal
test0884	roller_broken
test0885	roller_wear
test0886	inner_wear
test0887	inner_broken
test0888	outer_missing
test0889	normal
test0890	roller_broken
test0891	roller_wear
test0892	inner_wear
test0893	inner_broken
test0894	outer_missing
test0895	normal
test0896	roller_broken
test0897	roller_wear
test0898	inner_wear
test0899	inner_broken
test0900	outer_missing
test0901	normal
test0902	roller_broken
test0903	roller_wear
test0904	inner_wear
test0905	inner_broken
test0906	outer_missing
test0907	normal
test0908	roller_broken
test0909	roller_wear
test0910	inner_wear
test0911	inner_broken
test0912	outer_missing
test0913	normal
test0914	roller_broken
test0915	roller_wear
test0916	inner_wear
test0917	inner_broken
test0918	outer_missing
test0919	normal
test0920	roller_broken
test0921	roller_wear
test0922	inner_wear
test0923	inner_broken
test0924	outer_missing
test0925	normal
test0926	roller_broken
test0927	roller_wear
test0928	inner_wear
test0929	inner_broken
test0930	outer_missing
test0931	normal
test0932	roller_broken
test0933	roller_wear
test0934	inner_wear
test0935	inner_broken
test0936	outer_missing
test0937	normal
test0938	roller_broken
test0939	roller_wear
test0940	inner_wear
test0941	inner_broken
test0942	outer_missing
test0943	normal
test0944	roller_broken
test0945	roller_wear
test0946	inner_wear
test0947	inner_broken
test0948	outer_missing
test0949	normal
test0950	roller_broken
test0951	roller_wear
test0952	inner_wear
test0953	inner_broken
test0954	outer_missing
test0955	normal
test0956	roller_broken
test0957	roller_wear
test0958	inner_wear
test0959	inner_broken
test0960	outer_missing
test0961	normal
test0962	roller_broken
test0963	roller_wear
test0964	inner_wear
test0965	inner_broken
test0966	outer_missing
test0967	normal
test0968	roller_broken
test0969	roller_wear
test0970	inner_wear
test0971	inner_broken
test0972	outer_missing
test0973	normal
test0974	roller_broken
test0975	roller_wear
test0976	inner_wear
test0977	inner_broken
test0978	outer_missing
test0979	normal
test0980	roller_broken
test0981	roller_wear
test0982	inner_wear
test0983	inner_broken
test0984	outer_missing
test0985	normal
test0986	roller_broken
test0987	roller_wear
test0988	inner_wear
test0989	inner_broken
test0990	outer_missing
test0991	normal
test0992	roller_broken
test0993	roller_wear
test0994	inner_wear
test0995	inner_broken
test0996	outer_missing
test0997	normal
test0998	roller_broken
test0999	roller_wear
test1000	inner_wear
test1001	inner_broken
test1002	outer_missing
test1003	normal
test1004	roller_broken
test1005	roller_wear
test1006	inner_wear
test1007	inner_broken
test1008	outer_missing
test1009	normal
test1010	roller_broken
test1011	roller_wear
test1012	inner_wear
test1013	inner_broken
test1014	outer_missing
test1015	normal
test1016	roller_broken
test1017	roller_wear
test1018	inner_wear
test1019	inner_broken
test1020	outer_missing
test1021	normal
test1022	roller_broken
test1023	roller_wear
test1024	inner_wear
test1025	inner_broken
test1026	outer_missing
test1027	normal
test1028	roller_broken
test1029	roller_wear
test1030	inner_wear
test1031	inner_broken
test1032	outer_missing
test1033	normal
test1034	roller_broken
test1035	roller_wear
test1036	inner_wear
test1037	inner_broken
test1038	outer_missing
test1039	normal
test1040	roller_broken
test1041	roller_wear
test1042	inner_wear
test1043	inner_broken
test1044	outer_missing
test1045	normal
test1046	roller_broken
test1047	roller_wear
test1048	inner_wear
test1049	inner_broken
test1050	outer_missing
test1051	normal
test1052	roller_broken
test1053	roller_wear
test1054	inner_wear
test1055	inner_broken
test1056	outer_missing
test1057	normal
test1058	roller_broken
test1059	roller_wear
test1060	inner_wear
test1061	inner_broken
test1062	outer_missing
test1063	normal
test1064	roller_broken
test1065	roller_wear
test1066	inner_wear
test1067	inner_broken
test1068	outer_missing
test1069	normal
test1070	roller_broken
test1071	roller_wear
test1072	inner_wear
test1073	inner_broken
test1074	outer_missing
test1075	normal
test1076	roller_broken
test1077	roller_wear
test1078	inner_wear
test1079	inner_broken
test1080	outer_missing
test1081	normal
test1082	roller_broken
test1083	roller_wear
test1084	inner_wear
test1085	inner_broken
test1086	outer_missing
test1087	normal
test1088	roller_broken
test1089	roller_wear
test1090	inner_wear
test1091	inner_broken
test1092	outer_missing
test1093	normal
test1094	roller_broken
test1095	roller_wear
test1096	inner_wear
test1097	inner_broken
test1098	outer_missing
test1099	normal
test1100	roller_broken
test1101	roller_wear
test1102	inner_wear
test1103	inner_broken
test1104	outer_missing
test1105	normal
test1106	roller_broken
test1107	roller_wear
test1108	inner_wear
test1109	inner_broken
test1110	outer_missing
test1111	normal
test1112	roller_broken
test1113	roller_wear
test1114	inner_wear
test1115	inner_broken
test1116	outer_missing
test1117	normal
test1118	roller_broken
test1119	roller_wear
test1120	inner_wear
test1121	inner_broken
test1122	outer_missing
test1123	normal
test1124	roller_broken
test1125	roller_wear
test1126	inner_wear
test1127	inner_broken
test1128	outer_missing
test1129	normal
test1130	roller_broken
test1131	roller_wear
test1132	inner_wear
test1133	inner_broken
test1134	outer_missing
test1135	normal
test1136	roller_broken
test1137	roller_wear
test1138	inner_wear
test1139	inner_broken
test1140	outer_missing
