测试集名称	故障类型
test0123	outer_missing
test0124	inner_wear
test0125	roller_wear
test0126	roller_wear
test0127	inner_broken
test0128	inner_broken
test0129	inner_wear
test0130	roller_wear
test0131	roller_wear
test0132	roller_wear
test0133	roller_broken
test0134	outer_missing
test0135	normal
test0136	roller_wear
test0137	roller_wear
test0138	outer_missing
test0139	roller_wear
test0140	outer_missing
test0141	roller_broken
test0142	roller_wear
test0143	inner_wear
test0144	inner_broken
test0145	roller_wear
test0146	outer_missing
test0147	normal
test0148	roller_broken
test0149	roller_wear
test0150	outer_missing
test0151	inner_wear
test0152	outer_missing
test0153	roller_wear
test0154	outer_missing
test0155	normal
test0156	outer_missing
test0157	normal
test0158	outer_missing
test0159	roller_wear
test0160	inner_broken
test0161	outer_missing
test0162	inner_broken
test0163	normal
test0164	outer_missing
test0165	inner_wear
test0166	normal
test0167	inner_broken
test0168	outer_missing
test0169	outer_missing
test0170	outer_missing
test0171	normal
test0172	outer_missing
test0173	roller_broken
test0174	outer_missing
test0175	normal
test0176	roller_broken
test0177	roller_wear
test0178	outer_missing
test0179	roller_wear
test0180	outer_missing
test0181	roller_wear
test0182	outer_missing
test0183	roller_wear
test0184	roller_wear
test0185	outer_missing
test0186	roller_wear
test0187	roller_broken
test0188	outer_missing
test0189	outer_missing
test0190	roller_broken
test0191	roller_wear
test0192	outer_missing
test0193	outer_missing
test0194	normal
test0195	roller_wear
test0196	outer_missing
test0197	outer_missing
test0198	inner_broken
test0199	roller_wear
test0200	inner_wear
test0201	normal
test0202	normal
test0203	normal
test0204	outer_missing
test0205	roller_wear
test0206	outer_missing
test0207	roller_wear
test0208	roller_wear
test0209	roller_wear
test0210	roller_wear
test0211	inner_wear
test0212	outer_missing
test0213	outer_missing
test0214	roller_broken
test0215	outer_missing
test0216	outer_missing
test0217	roller_wear
test0218	normal
test0219	roller_broken
test0220	normal
test0221	inner_wear
test0222	outer_missing
test0223	outer_missing
test0224	roller_broken
test0225	roller_wear
test0226	outer_missing
test0227	inner_wear
test0228	outer_missing
test0229	inner_wear
test0230	outer_missing
test0231	roller_broken
test0232	outer_missing
test0233	outer_missing
test0234	outer_missing
test0235	roller_wear
test0236	inner_wear
test0237	inner_wear
test0238	outer_missing
test0239	outer_missing
test0240	outer_missing
test0241	outer_missing
test0242	inner_wear
test0243	normal
test0244	normal
test0245	outer_missing
test0246	inner_wear
test0247	outer_missing
test0248	inner_wear
test0249	inner_wear
test0250	normal
test0251	roller_wear
test0252	outer_missing
test0253	roller_wear
test0254	outer_missing
test0255	outer_missing
test0256	outer_missing
test0257	roller_wear
test0258	outer_missing
test0259	roller_broken
test0260	inner_wear
test0261	outer_missing
test0262	outer_missing
test0263	outer_missing
test0264	roller_wear
test0265	roller_wear
test0266	outer_missing
test0267	roller_broken
test0268	outer_missing
test0269	outer_missing
test0270	roller_broken
test0271	roller_broken
test0272	outer_missing
test0273	normal
test0274	inner_wear
test0275	inner_broken
test0276	roller_broken
test0277	outer_missing
test0278	roller_broken
test0279	outer_missing
test0280	roller_wear
test0281	inner_broken
test0282	normal
test0283	outer_missing
test0284	outer_missing
test0285	outer_missing
test0286	roller_wear
test0287	outer_missing
test0288	inner_wear
test0289	inner_wear
test0290	roller_wear
test0291	roller_wear
test0292	roller_wear
test0293	roller_broken
test0294	outer_missing
test0295	outer_missing
test0296	roller_broken
test0297	normal
test0298	roller_wear
test0299	inner_wear
test0300	outer_missing
test0301	roller_wear
test0302	outer_missing
test0303	outer_missing
test0304	roller_wear
test0305	normal
test0306	inner_wear
test0307	roller_broken
test0308	outer_missing
test0309	outer_missing
test0310	normal
test0311	normal
test0312	outer_missing
test0313	inner_wear
test0314	outer_missing
test0315	outer_missing
test0316	roller_wear
test0317	roller_broken
test0318	roller_broken
test0319	outer_missing
test0320	normal
test0321	roller_broken
test0322	roller_wear
test0323	inner_wear
test0324	normal
test0325	roller_broken
test0326	outer_missing
test0327	outer_missing
test0328	normal
test0329	roller_wear
test0330	roller_broken
test0331	roller_broken
test0332	outer_missing
test0333	roller_wear
test0334	normal
test0335	normal
test0336	roller_broken
test0337	roller_wear
test0338	roller_wear
test0339	outer_missing
test0340	roller_wear
test0341	roller_wear
test0342	roller_wear
test0343	outer_missing
test0344	normal
test0345	outer_missing
test0346	outer_missing
test0347	inner_wear
test0348	outer_missing
test0349	roller_wear
test0350	outer_missing
test0351	outer_missing
test0352	roller_wear
test0353	roller_wear
test0354	inner_wear
test0355	roller_wear
test0356	roller_broken
test0357	roller_broken
test0358	roller_wear
test0359	outer_missing
test0360	inner_broken
test0361	outer_missing
test0362	roller_wear
test0363	outer_missing
test0364	inner_broken
test0365	normal
test0366	normal
test0367	normal
test0368	roller_wear
test0369	outer_missing
test0370	outer_missing
test0371	outer_missing
test0372	inner_wear
test0373	roller_wear
test0374	outer_missing
test0375	roller_wear
test0376	inner_broken
test0377	outer_missing
test0378	roller_wear
test0379	roller_wear
test0380	roller_wear
test0381	outer_missing
test0382	inner_wear
test0383	roller_broken
test0384	outer_missing
test0385	roller_wear
test0386	normal
test0387	outer_missing
test0388	outer_missing
test0389	inner_broken
test0390	roller_wear
test0391	outer_missing
test0392	roller_broken
test0393	outer_missing
test0394	roller_wear
test0395	roller_wear
test0396	outer_missing
test0397	normal
test0398	roller_wear
test0399	roller_wear
test0400	roller_wear
test0401	outer_missing
test0402	outer_missing
test0403	outer_missing
test0404	outer_missing
test0405	outer_missing
test0406	outer_missing
test0407	outer_missing
test0408	roller_wear
test0409	roller_broken
test0410	outer_missing
test0411	roller_wear
test0412	roller_broken
test0413	normal
test0414	roller_wear
test0415	outer_missing
test0416	outer_missing
test0417	inner_broken
test0418	roller_broken
test0419	outer_missing
test0420	inner_wear
test0421	roller_broken
test0422	outer_missing
test0423	normal
test0424	outer_missing
test0425	normal
test0426	roller_broken
test0427	roller_wear
test0428	roller_wear
test0429	roller_broken
test0430	roller_wear
test0431	outer_missing
test0432	outer_missing
test0433	outer_missing
test0434	outer_missing
test0435	normal
test0436	outer_missing
test0437	roller_wear
test0438	roller_wear
test0439	normal
test0440	outer_missing
test0441	outer_missing
test0442	outer_missing
test0443	outer_missing
test0444	outer_missing
test0445	normal
test0446	normal
test0447	normal
test0448	inner_broken
test0449	roller_wear
test0450	outer_missing
test0451	roller_wear
test0452	outer_missing
test0453	outer_missing
test0454	roller_wear
test0455	roller_broken
test0456	outer_missing
test0457	roller_broken
test0458	outer_missing
test0459	outer_missing
test0460	roller_wear
test0461	outer_missing
test0462	roller_wear
test0463	outer_missing
test0464	outer_missing
test0465	outer_missing
test0466	inner_wear
test0467	inner_wear
test0468	normal
test0469	outer_missing
test0470	roller_wear
test0471	roller_broken
test0472	outer_missing
test0473	inner_wear
test0474	outer_missing
test0475	outer_missing
test0476	normal
test0477	roller_wear
test0478	normal
test0479	inner_wear
test0480	outer_missing
test0481	outer_missing
test0482	inner_wear
test0483	inner_wear
test0484	inner_broken
test0485	outer_missing
test0486	roller_wear
test0487	outer_missing
test0488	roller_broken
test0489	inner_wear
test0490	outer_missing
test0491	roller_wear
test0492	roller_broken
test0493	normal
test0494	roller_broken
test0495	roller_wear
test0496	outer_missing
test0497	roller_wear
test0498	outer_missing
test0499	roller_wear
test0500	roller_wear
test0501	normal
test0502	normal
test0503	outer_missing
test0504	roller_broken
test0505	inner_wear
test0506	outer_missing
test0507	roller_wear
test0508	roller_broken
test0509	roller_broken
test0510	outer_missing
test0511	inner_broken
test0512	outer_missing
test0513	outer_missing
test0514	normal
test0515	outer_missing
test0516	inner_broken
test0517	outer_missing
test0518	normal
test0519	roller_wear
test0520	outer_missing
test0521	inner_wear
test0522	outer_missing
test0523	outer_missing
test0524	roller_wear
test0525	outer_missing
test0526	inner_wear
test0527	inner_broken
test0528	roller_wear
test0529	outer_missing
test0530	outer_missing
test0531	roller_broken
test0532	inner_broken
test0533	inner_wear
test0534	outer_missing
test0535	outer_missing
test0536	outer_missing
test0537	roller_wear
test0538	outer_missing
test0539	normal
test0540	inner_broken
test0541	roller_wear
test0542	roller_broken
test0543	inner_wear
test0544	inner_wear
test0545	inner_broken
test0546	inner_broken
test0547	outer_missing
test0548	normal
test0549	outer_missing
test0550	roller_wear
test0551	normal
test0552	roller_wear
test0553	roller_wear
test0554	inner_wear
test0555	outer_missing
test0556	outer_missing
test0557	roller_broken
test0558	roller_wear
test0559	roller_broken
test0560	normal
test0561	roller_wear
test0562	roller_wear
test0563	normal
test0564	inner_wear
test0565	roller_wear
test0566	roller_broken
test0567	roller_broken
test0568	inner_wear
test0569	roller_wear
test0570	roller_broken
test0571	outer_missing
test0572	outer_missing
test0573	outer_missing
test0574	outer_missing
test0575	roller_wear
test0576	outer_missing
test0577	outer_missing
test0578	roller_wear
test0579	normal
test0580	outer_missing
test0581	inner_wear
test0582	normal
test0583	inner_wear
test0584	normal
test0585	outer_missing
test0586	inner_broken
test0587	outer_missing
test0588	normal
test0589	outer_missing
test0590	roller_wear
test0591	normal
test0592	roller_wear
test0593	inner_broken
test0594	roller_wear
test0595	outer_missing
test0596	roller_wear
test0597	roller_wear
test0598	inner_broken
test0599	roller_broken
test0600	outer_missing
test0601	inner_wear
test0602	normal
test0603	outer_missing
test0604	roller_wear
test0605	outer_missing
test0606	roller_broken
test0607	inner_wear
test0608	outer_missing
test0609	roller_wear
test0610	inner_wear
test0611	inner_wear
test0612	roller_broken
test0613	inner_wear
test0614	inner_wear
test0615	outer_missing
test0616	normal
test0617	roller_wear
test0618	outer_missing
test0619	inner_wear
test0620	outer_missing
test0621	outer_missing
test0622	roller_wear
test0623	outer_missing
test0624	roller_wear
test0625	inner_wear
test0626	outer_missing
test0627	outer_missing
test0628	roller_broken
test0629	roller_wear
test0630	inner_wear
test0631	outer_missing
test0632	outer_missing
test0633	outer_missing
test0634	outer_missing
test0635	inner_broken
test0636	roller_wear
test0637	roller_wear
test0638	roller_broken
test0639	outer_missing
test0640	roller_wear
test0641	outer_missing
test0642	roller_broken
test0643	inner_wear
test0644	outer_missing
test0645	inner_wear
test0646	inner_wear
test0647	roller_broken
test0648	inner_broken
test0649	inner_wear
test0650	inner_broken
test0651	inner_wear
test0652	inner_broken
test0653	outer_missing
test0654	roller_wear
test0655	inner_wear
test0656	roller_wear
test0657	normal
test0658	roller_wear
test0659	roller_wear
test0660	outer_missing
test0661	outer_missing
test0662	inner_wear
test0663	inner_wear
test0664	inner_wear
test0665	inner_broken
test0666	roller_wear
test0667	inner_wear
test0668	roller_wear
test0669	outer_missing
test0670	roller_wear
test0671	outer_missing
test0672	outer_missing
test0673	roller_wear
test0674	outer_missing
test0675	normal
test0676	roller_wear
test0677	outer_missing
test0678	normal
test0679	roller_wear
test0680	roller_wear
test0681	outer_missing
test0682	outer_missing
test0683	outer_missing
test0684	inner_broken
test0685	outer_missing
test0686	roller_broken
test0687	roller_broken
test0688	outer_missing
test0689	roller_wear
test0690	roller_broken
test0691	roller_wear
test0692	inner_broken
test0693	outer_missing
test0694	outer_missing
test0695	outer_missing
test0696	roller_wear
test0697	outer_missing
test0698	outer_missing
test0699	roller_broken
test0700	outer_missing
test0701	roller_wear
test0702	inner_wear
test0703	outer_missing
test0704	outer_missing
test0705	outer_missing
test0706	roller_broken
test0707	inner_wear
test0708	roller_broken
test0709	inner_wear
test0710	inner_wear
test0711	inner_broken
test0712	outer_missing
test0713	roller_wear
test0714	outer_missing
test0715	outer_missing
test0716	roller_wear
test0717	normal
test0718	roller_wear
test0719	outer_missing
test0720	normal
test0721	roller_wear
test0722	roller_wear
test0723	normal
test0724	outer_missing
test0725	outer_missing
test0726	roller_wear
test0727	roller_wear
test0728	inner_wear
test0729	normal
test0730	roller_wear
test0731	inner_broken
test0732	inner_broken
test0733	roller_wear
test0734	outer_missing
test0735	outer_missing
test0736	outer_missing
test0737	normal
test0738	roller_wear
test0739	inner_wear
test0740	inner_wear
test0741	outer_missing
test0742	normal
test0743	outer_missing
test0744	roller_wear
test0745	inner_broken
test0746	roller_broken
test0747	outer_missing
test0748	roller_broken
test0749	outer_missing
test0750	inner_broken
test0751	outer_missing
test0752	outer_missing
test0753	outer_missing
test0754	roller_wear
test0755	inner_broken
test0756	roller_wear
test0757	outer_missing
test0758	roller_wear
test0759	normal
test0760	outer_missing
test0761	normal
test0762	outer_missing
test0763	outer_missing
test0764	outer_missing
test0765	outer_missing
test0766	outer_missing
test0767	roller_wear
test0768	outer_missing
test0769	roller_broken
test0770	inner_wear
test0771	outer_missing
test0772	normal
test0773	outer_missing
test0774	roller_wear
test0775	outer_missing
test0776	inner_wear
test0777	outer_missing
test0778	roller_wear
test0779	outer_missing
test0780	normal
test0781	outer_missing
test0782	outer_missing
test0783	roller_wear
test0784	roller_wear
test0785	outer_missing
test0786	outer_missing
test0787	inner_broken
test0788	outer_missing
test0789	outer_missing
test0790	outer_missing
test0791	outer_missing
test0792	outer_missing
test0793	roller_wear
test0794	normal
test0795	outer_missing
test0796	roller_broken
test0797	outer_missing
test0798	roller_wear
test0799	inner_wear
test0800	outer_missing
test0801	outer_missing
test0802	roller_broken
test0803	roller_wear
test0804	normal
test0805	roller_broken
test0806	inner_broken
test0807	inner_wear
test0808	outer_missing
test0809	inner_wear
test0810	outer_missing
test0811	inner_wear
test0812	outer_missing
test0813	outer_missing
test0814	outer_missing
test0815	outer_missing
test0816	roller_broken
test0817	outer_missing
test0818	outer_missing
test0819	roller_wear
test0820	roller_wear
test0821	roller_broken
test0822	outer_missing
test0823	normal
test0824	roller_wear
test0825	outer_missing
test0826	roller_broken
test0827	roller_broken
test0828	outer_missing
test0829	roller_broken
test0830	roller_broken
test0831	roller_broken
test0832	roller_broken
test0833	normal
test0834	inner_wear
test0835	roller_broken
test0836	inner_wear
test0837	inner_broken
test0838	outer_missing
test0839	roller_broken
test0840	roller_wear
test0841	outer_missing
test0842	outer_missing
test0843	inner_wear
test0844	roller_broken
test0845	roller_wear
test0846	outer_missing
test0847	inner_wear
test0848	outer_missing
test0849	roller_broken
test0850	outer_missing
test0851	outer_missing
test0852	roller_wear
test0853	roller_broken
test0854	normal
test0855	roller_wear
test0856	inner_broken
test0857	outer_missing
test0858	inner_wear
test0859	inner_wear
test0860	normal
test0861	roller_wear
test0862	outer_missing
test0863	outer_missing
test0864	outer_missing
test0865	inner_broken
test0866	outer_missing
test0867	outer_missing
test0868	outer_missing
test0869	inner_wear
test0870	inner_wear
test0871	normal
test0872	roller_broken
test0873	roller_wear
test0874	inner_broken
test0875	roller_wear
test0876	roller_wear
test0877	inner_wear
test0878	inner_wear
test0879	outer_missing
test0880	inner_wear
test0881	roller_wear
test0882	roller_wear
test0883	outer_missing
test0884	outer_missing
test0885	outer_missing
test0886	normal
test0887	inner_wear
test0888	outer_missing
test0889	outer_missing
test0890	outer_missing
test0891	outer_missing
test0892	outer_missing
test0893	outer_missing
test0894	roller_wear
test0895	roller_wear
test0896	roller_wear
test0897	roller_wear
test0898	roller_wear
test0899	roller_broken
test0900	outer_missing
test0901	outer_missing
test0902	outer_missing
test0903	roller_wear
test0904	outer_missing
test0905	inner_wear
test0906	inner_wear
test0907	inner_wear
test0908	outer_missing
test0909	outer_missing
test0910	outer_missing
test0911	outer_missing
test0912	roller_wear
test0913	normal
test0914	outer_missing
test0915	outer_missing
test0916	normal
test0917	inner_wear
test0918	outer_missing
test0919	roller_wear
test0920	roller_wear
test0921	outer_missing
test0922	outer_missing
test0923	roller_wear
test0924	outer_missing
test0925	inner_wear
test0926	outer_missing
test0927	inner_wear
test0928	outer_missing
test0929	roller_broken
test0930	roller_wear
test0931	roller_wear
test0932	roller_wear
test0933	outer_missing
test0934	normal
test0935	outer_missing
test0936	roller_wear
test0937	outer_missing
test0938	normal
test0939	outer_missing
test0940	outer_missing
test0941	outer_missing
test0942	roller_broken
test0943	normal
test0944	roller_broken
test0945	outer_missing
test0946	outer_missing
test0947	roller_wear
test0948	roller_broken
test0949	outer_missing
test0950	inner_wear
test0951	outer_missing
test0952	outer_missing
test0953	roller_wear
test0954	normal
test0955	outer_missing
test0956	outer_missing
test0957	inner_broken
test0958	inner_wear
test0959	inner_wear
test0960	roller_wear
test0961	outer_missing
test0962	roller_broken
test0963	outer_missing
test0964	roller_wear
test0965	roller_broken
test0966	roller_wear
test0967	normal
test0968	outer_missing
test0969	outer_missing
test0970	outer_missing
test0971	roller_wear
test0972	roller_wear
test0973	roller_wear
test0974	roller_wear
test0975	roller_wear
test0976	inner_wear
test0977	outer_missing
test0978	normal
test0979	inner_wear
test0980	outer_missing
test0981	roller_wear
test0982	roller_wear
test0983	outer_missing
test0984	outer_missing
test0985	roller_broken
test0986	outer_missing
test0987	normal
test0988	inner_wear
test0989	outer_missing
test0990	roller_wear
test0991	outer_missing
test0992	inner_broken
test0993	roller_wear
test0994	outer_missing
test0995	roller_wear
test0996	roller_wear
test0997	outer_missing
test0998	outer_missing
test0999	outer_missing
test1000	roller_wear
test1001	inner_broken
test1002	outer_missing
test1003	outer_missing
test1004	roller_wear
test1005	normal
test1006	roller_wear
test1007	roller_wear
test1008	outer_missing
test1009	inner_wear
test1010	inner_wear
test1011	outer_missing
test1012	normal
test1013	outer_missing
test1014	roller_broken
test1015	outer_missing
test1016	outer_missing
test1017	roller_wear
test1018	outer_missing
test1019	inner_wear
test1020	roller_wear
test1021	outer_missing
test1022	outer_missing
test1023	outer_missing
test1024	roller_wear
test1025	roller_wear
test1026	inner_broken
test1027	roller_wear
test1028	outer_missing
test1029	roller_wear
test1030	roller_wear
test1031	inner_wear
test1032	outer_missing
test1033	outer_missing
test1034	roller_broken
test1035	normal
test1036	roller_broken
test1037	roller_broken
test1038	roller_wear
test1039	normal
test1040	normal
test1041	outer_missing
test1042	roller_wear
test1043	outer_missing
test1044	roller_wear
test1045	inner_wear
test1046	normal
test1047	outer_missing
test1048	normal
test1049	inner_broken
test1050	outer_missing
test1051	outer_missing
test1052	outer_missing
test1053	inner_broken
test1054	outer_missing
test1055	outer_missing
test1056	inner_broken
test1057	outer_missing
test1058	inner_wear
test1059	roller_wear
test1060	inner_wear
test1061	outer_missing
test1062	roller_wear
test1063	roller_broken
test1064	outer_missing
test1065	outer_missing
test1066	normal
test1067	roller_wear
test1068	outer_missing
test1069	roller_broken
test1070	inner_broken
test1071	roller_broken
test1072	outer_missing
test1073	roller_broken
test1074	outer_missing
test1075	outer_missing
test1076	inner_wear
test1077	inner_broken
test1078	outer_missing
test1079	outer_missing
test1080	roller_broken
test1081	outer_missing
test1082	roller_broken
test1083	outer_missing
test1084	outer_missing
test1085	roller_broken
test1086	inner_broken
test1087	roller_broken
test1088	outer_missing
test1089	inner_wear
test1090	outer_missing
test1091	outer_missing
test1092	inner_wear
test1093	outer_missing
test1094	roller_wear
test1095	outer_missing
test1096	outer_missing
test1097	inner_wear
test1098	normal
test1099	normal
test1100	roller_wear
test1101	inner_wear
test1102	normal
test1103	roller_wear
test1104	outer_missing
test1105	outer_missing
test1106	roller_broken
test1107	inner_broken
test1108	outer_missing
test1109	roller_wear
test1110	outer_missing
test1111	roller_wear
test1112	inner_broken
test1113	roller_broken
test1114	inner_wear
test1115	outer_missing
test1116	outer_missing
test1117	roller_wear
test1118	outer_missing
test1119	roller_wear
test1120	inner_broken
test1121	roller_broken
test1122	normal
test1123	normal
test1124	roller_wear
test1125	roller_wear
test1126	roller_wear
test1127	inner_broken
test1128	roller_wear
test1129	inner_wear
test1130	outer_missing
test1131	roller_wear
test1132	roller_wear
test1133	outer_missing
test1134	inner_wear
test1135	inner_wear
test1136	outer_missing
test1137	outer_missing
test1138	outer_missing
test1139	normal
test1140	outer_missing
